transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,,
231,2022-07-09,07:02:00,50,Female,23,Clothing,3,50,26.5,150,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('231','44751', 0.293055555555556,50,'Female',23,'Clothing',3,50,26.5,150),"
683,2022-03-06,10:22:00,82,Male,38,Beauty,2,500,175,1000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('683','44626', 0.431944444444444,82,'Male',38,'Beauty',2,500,175,1000),"
1032,2022-04-01,08:15:00,1,Male,30,Beauty,3,30,10.5,90,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1032','44652', 0.34375,1,'Male',30,'Beauty',3,30,10.5,90),"
1231,2022-01-29,07:05:00,12,Female,23,Clothing,3,50,23,150,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1231','44590', 0.295138888888889,12,'Female',23,'Clothing',3,50,23,150),"
1683,2022-05-04,07:19:00,98,Male,38,Beauty,2,500,220,1000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1683','44685', 0.304861111111111,98,'Male',38,'Beauty',2,500,220,1000),"
367,2022-12-30,07:03:00,123,Female,57,Electronics,1,50,18,50,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('367','44925', 0.29375,123,'Female',57,'Electronics',1,50,18,50),"
391,2022-03-25,07:37:00,68,Male,19,Beauty,2,25,6.25,50,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('391','44645', 0.317361111111111,68,'Male',19,'Beauty',2,25,6.25,50),"
432,2022-03-10,11:31:00,17,Female,,Electronics,2,500,190,1000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('432','44630', 0.479861111111111,17,'Female',,'Electronics',2,500,190,1000),"
1367,2022-04-15,11:38:00,16,Female,,Electronics,1,50,15.5,50,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1367','44666', 0.484722222222222,16,'Female',,'Electronics',1,50,15.5,50),"
1391,2022-03-01,11:29:00,130,Male,,Beauty,2,25,9.25,50,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1391','44621', 0.478472222222222,130,'Male',,'Beauty',2,25,9.25,50),"
1432,2022-12-25,06:24:00,67,Female,,Electronics,2,500,245,1000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1432','44920', 0.266666666666667,67,'Female',,'Electronics',2,500,245,1000),"
150,2022-04-13,08:25:00,89,Female,,Electronics,4,30,16.2,120,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('150','44664', 0.350694444444444,89,'Female',,'Electronics',4,30,16.2,120),"
845,2022-10-27,10:12:00,25,Male,,Clothing,1,500,145,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('845','44861', 0.425,25,'Male',,'Clothing',1,500,145,500),"
1150,2022-08-22,10:04:00,77,Female,,Electronics,4,30,10.2,120,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1150','44795', 0.419444444444444,77,'Female',,'Electronics',4,30,10.2,120),"
1845,2022-05-24,07:06:00,94,Male,,Clothing,1,500,185,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1845','44705', 0.295833333333333,94,'Male',,'Clothing',1,500,185,500),"
797,2022-09-16,06:38:00,116,Male,,Clothing,3,25,10.75,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('797','44820', 0.276388888888889,116,'Male',,'Clothing',3,25,10.75,75),"
921,2022-09-28,09:34:00,101,Male,,Electronics,3,25,8,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('921','44832', 0.398611111111111,101,'Male',,'Electronics',3,25,8,75),"
1797,2022-04-16,11:47:00,147,Male,40,Clothing,3,25,12.25,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1797','44667', 0.490972222222222,147,'Male',40,'Clothing',3,25,12.25,75),"
1921,2022-02-08,07:01:00,77,Male,51,Electronics,3,25,7.5,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1921','44600', 0.292361111111111,77,'Male',51,'Electronics',3,25,7.5,75),"
291,2022-11-22,08:29:00,15,Male,60,Clothing,2,300,126,600,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('291','44887', 0.353472222222222,15,'Male',60,'Clothing',2,300,126,600),"
907,2022-09-02,06:16:00,145,Female,45,Electronics,1,25,8.5,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('907','44806', 0.261111111111111,145,'Female',45,'Electronics',1,25,8.5,25),"
1291,2022-04-04,11:19:00,72,Male,60,Clothing,2,300,153,600,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1291','44655', 0.471527777777778,72,'Male',60,'Clothing',2,300,153,600),"
1907,2022-11-17,11:21:00,115,Female,45,Electronics,1,25,9,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1907','44882', 0.472916666666667,115,'Female',45,'Electronics',1,25,9,25),"
860,2022-04-11,08:58:00,85,Male,63,Clothing,4,50,16,200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('860','44662', 0.373611111111111,85,'Male',63,'Clothing',4,50,16,200),"
1860,2022-03-12,11:21:00,57,Male,63,Clothing,4,50,18,200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1860','44632', 0.472916666666667,57,'Male',63,'Clothing',4,50,18,200),"
184,2022-02-13,06:44:00,128,Male,31,Electronics,4,50,17,200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('184','44605', 0.280555555555556,128,'Male',31,'Electronics',4,50,17,200),"
734,2022-03-12,08:54:00,77,Female,27,Clothing,1,30,15.6,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('734','44632', 0.370833333333333,77,'Female',27,'Clothing',1,30,15.6,30),"
1184,2022-02-12,08:28:00,23,Male,31,Electronics,4,50,27.5,200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1184','44604', 0.352777777777778,23,'Male',31,'Electronics',4,50,27.5,200),"
1734,2022-02-28,08:58:00,72,Female,27,Clothing,1,30,14.4,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1734','44620', 0.373611111111111,72,'Female',27,'Clothing',1,30,14.4,30),"
225,2022-03-05,07:37:00,85,Female,57,Beauty,4,25,12.75,100,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('225','44625', 0.317361111111111,85,'Female',57,'Beauty',4,25,12.75,100),"
679,2022-08-26,08:59:00,64,Female,18,Beauty,2,23,120,120,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('679','44799', 0.374305555555556,64,'Female',18,'Beauty',2,23,120,120),"
746,2022-07-05,11:33:00,42,Female,33,Clothing,13,12,320,340,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('746','44747', 0.48125,42,'Female',33,'Clothing',13,12,320,340),"
1225,2022-02-02,09:51:00,137,Female,57,Beauty,23,45,240,,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1225','44594', 0.410416666666667,137,'Female',57,'Beauty',23,45,240,),"
1679,2022-09-23,08:08:00,71,Female,18,Beauty,3,30,15.3,90,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1679','44827', 0.338888888888889,71,'Female',18,'Beauty',3,30,15.3,90),"
1746,2022-06-13,07:59:00,88,Female,33,Clothing,3,30,10.8,90,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1746','44725', 0.332638888888889,88,'Female',33,'Clothing',3,30,10.8,90),"
3,2022-06-14,07:08:00,114,Male,50,Electronics,1,30,8.1,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('3','44726', 0.297222222222222,114,'Male',50,'Electronics',1,30,8.1,30),"
464,2022-03-06,11:13:00,24,Male,38,Electronics,2,300,75,600,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('464','44626', 0.467361111111111,24,'Male',38,'Electronics',2,300,75,600),"
484,2022-03-13,07:52:00,135,Female,19,Clothing,4,300,75,1200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('484','44633', 0.327777777777778,135,'Female',19,'Clothing',4,300,75,1200),"
591,2022-03-21,08:38:00,94,Male,53,Electronics,4,25,6.5,100,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('591','44641', 0.359722222222222,94,'Male',53,'Electronics',4,25,6.5,100),"
1003,2022-01-26,07:59:00,80,Male,50,Electronics,1,30,15.9,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1003','44587', 0.332638888888889,80,'Male',50,'Electronics',1,30,15.9,30),"
1464,2022-11-13,10:06:00,80,Male,38,Electronics,2,300,126,600,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1464','44878', 0.420833333333333,80,'Male',38,'Electronics',2,300,126,600),"
1484,2022-11-23,09:29:00,22,Female,19,Clothing,4,300,147,1200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1484','44888', 0.395138888888889,22,'Female',19,'Clothing',4,300,147,1200),"
1591,2022-09-29,11:00:00,62,Male,53,Electronics,4,25,7,100,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1591','44833', 0.458333333333333,62,'Male',53,'Electronics',4,25,7,100),"
21,2022-07-11,07:33:00,59,Female,50,Beauty,1,500,275,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('21','44753', 0.314583333333333,59,'Female',50,'Beauty',1,500,275,500),"
708,2022-04-06,08:38:00,62,Female,43,Beauty,3,300,87,900,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('708','44657', 0.359722222222222,62,'Female',43,'Beauty',3,300,87,900),"
713,2022-04-16,11:43:00,39,Male,34,Beauty,3,25,11.25,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('713','44667', 0.488194444444444,39,'Male',34,'Beauty',3,25,11.25,75),"
768,2022-06-27,06:50:00,58,Female,24,Beauty,3,25,10.5,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('768','44739', 0.284722222222222,58,'Female',24,'Beauty',3,25,10.5,75),"
1021,2022-06-11,10:19:00,44,Female,50,Beauty,1,500,155,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1021','44723', 0.429861111111111,44,'Female',50,'Beauty',1,500,155,500),"
1708,2022-02-08,07:47:00,41,Female,43,Beauty,3,300,162,900,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1708','44600', 0.324305555555556,41,'Female',43,'Beauty',3,300,162,900),"
1713,2022-10-03,10:10:00,90,Male,34,Beauty,3,25,10.75,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1713','44837', 0.423611111111111,90,'Male',34,'Beauty',3,25,10.75,75),"
1768,2022-07-31,09:52:00,85,Female,24,Beauty,3,25,8.75,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1768','44773', 0.411111111111111,85,'Female',24,'Beauty',3,25,8.75,75),"
499,2022-04-03,10:52:00,15,Male,46,Beauty,2,30,16.5,60,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('499','44654', 0.452777777777778,15,'Male',46,'Beauty',2,30,16.5,60),"
697,2022-12-25,07:52:00,152,Male,53,Clothing,1,500,200,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('697','44920', 0.327777777777778,152,'Male',53,'Clothing',1,500,200,500),"
831,2022-11-30,11:49:00,149,Male,27,Electronics,4,25,13.75,100,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('831','44895', 0.492361111111111,149,'Male',27,'Electronics',4,25,13.75,100),"
1499,2022-09-23,09:46:00,3,Male,46,Beauty,2,30,11.7,60,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1499','44827', 0.406944444444444,3,'Male',46,'Beauty',2,30,11.7,60),"
1697,2022-12-18,08:22:00,54,Male,53,Clothing,1,500,265,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1697','44913', 0.348611111111111,54,'Male',53,'Clothing',1,500,265,500),"
1831,2022-03-26,10:54:00,80,Male,27,Electronics,4,25,6.5,100,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1831','44646', 0.454166666666667,80,'Male',27,'Electronics',4,25,6.5,100),"
15,2022-07-01,11:50:00,75,Female,42,Electronics,4,500,210,2000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('15','44743', 0.493055555555556,75,'Female',42,'Electronics',4,500,210,2000),"
743,2022-08-07,07:54:00,55,Female,34,Beauty,4,500,260,2000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('743','44780', 0.329166666666667,55,'Female',34,'Beauty',4,500,260,2000),"
1015,2022-03-09,11:53:00,94,Female,42,Electronics,4,500,200,2000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1015','44629', 0.495138888888889,94,'Female',42,'Electronics',4,500,200,2000),"
1743,2022-10-26,09:37:00,47,Female,34,Beauty,4,500,250,2000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1743','44860', 0.400694444444444,47,'Female',34,'Beauty',4,500,250,2000),"
14,2022-05-18,07:11:00,8,Male,64,Clothing,4,30,13.2,120,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('14','44699', 0.299305555555556,8,'Male',64,'Clothing',4,30,13.2,120),"
103,2022-11-12,10:05:00,33,Female,59,Clothing,1,25,10.75,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('103','44877', 0.420138888888889,33,'Female',59,'Clothing',1,25,10.75,25),"
238,2022-05-10,11:52:00,20,Female,39,Beauty,1,500,150,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('238','44691', 0.494444444444444,20,'Female',39,'Beauty',1,500,150,500),"
986,2022-08-01,09:35:00,65,Female,49,Clothing,2,500,200,1000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('986','44774', 0.399305555555556,65,'Female',49,'Clothing',2,500,200,1000),"
1014,2022-02-04,10:26:00,147,Male,64,Clothing,4,30,11.4,120,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1014','44596', 0.434722222222222,147,'Male',64,'Clothing',4,30,11.4,120),"
1103,2022-02-14,07:11:00,61,Female,59,Clothing,1,25,6.75,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1103','44606', 0.299305555555556,61,'Female',59,'Clothing',1,25,6.75,25),"
1238,2022-09-17,07:38:00,129,Female,39,Beauty,1,500,165,500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1238','44821', 0.318055555555556,129,'Female',39,'Beauty',1,500,165,500),"
1986,2022-09-14,08:28:00,29,Female,49,Clothing,2,500,145,1000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1986','44818', 0.352777777777778,29,'Female',49,'Clothing',2,500,145,1000),"
438,2022-08-31,10:15:00,88,Female,42,Clothing,1,30,15.9,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('438','44804', 0.427083333333333,88,'Female',42,'Clothing',1,30,15.9,30),"
1438,2022-01-07,10:00:00,72,Female,42,Clothing,1,30,13.8,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1438','44568', 0.416666666666667,72,'Female',42,'Clothing',1,30,13.8,30),"
475,2022-08-12,10:39:00,78,Male,26,Clothing,3,25,9,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('475','44785', 0.44375,78,'Male',26,'Clothing',3,25,9,75),"
505,2022-12-17,07:25:00,86,Male,24,Beauty,1,50,19.5,50,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('505','44912', 0.309027777777778,86,'Male',24,'Beauty',1,50,19.5,50),"
1475,2022-10-04,07:03:00,132,Male,26,Clothing,3,25,10.75,75,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1475','44838', 0.29375,132,'Male',26,'Clothing',3,25,10.75,75),"
1505,2022-10-30,08:00:00,98,Male,24,Beauty,1,50,14.5,50,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1505','44864', 0.333333333333333,98,'Male',24,'Beauty',1,50,14.5,50),"
344,2022-07-17,09:47:00,69,Female,42,Beauty,1,30,7.5,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('344','44759', 0.407638888888889,69,'Female',42,'Beauty',1,30,7.5,30),"
448,2022-03-19,09:36:00,86,Female,54,Beauty,2,30,16.2,60,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('448','44639', 0.4,86,'Female',54,'Beauty',2,30,16.2,60),"
742,2022-03-19,06:08:00,37,Female,38,Electronics,4,500,195,2000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('742','44639', 0.255555555555556,37,'Female',38,'Electronics',4,500,195,2000),"
1344,2022-12-18,06:12:00,144,Female,42,Beauty,1,30,11.1,30,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1344','44913', 0.258333333333333,144,'Female',42,'Beauty',1,30,11.1,30),"
1448,2022-05-16,06:28:00,51,Female,54,Beauty,2,30,9.3,60,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1448','44697', 0.269444444444444,51,'Female',54,'Beauty',2,30,9.3,60),"
1742,2022-11-22,08:25:00,18,Female,38,Electronics,4,500,220,2000,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1742','44887', 0.350694444444444,18,'Female',38,'Electronics',4,500,220,2000),"
445,2022-04-14,10:48:00,132,Female,53,Electronics,1,300,138,300,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('445','44665', 0.45,132,'Female',53,'Electronics',1,300,138,300),"
787,2022-06-10,10:42:00,25,Male,41,Electronics,1,25,13.75,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('787','44722', 0.445833333333333,25,'Male',41,'Electronics',1,25,13.75,25),"
